entry_date,exit_date,signal_type,entry_price,exit_price,result,pnl_pct,pnl_usd,capital,days
2019-04-12,2019-04-16,C_LongOro,1154.4890317790855,1139.6315066320958,LOSS,-2.05,-14.9,711.85,4
2019-04-29,2019-04-30,C_LongOro,1151.6421208839135,1141.0145238244963,LOSS,-2.05,-14.59,697.25,1
2019-05-03,2019-05-06,C_LongOro,1153.12836004589,1137.9213748427258,LOSS,-2.05,-14.29,682.96,3
2019-06-04,2019-06-05,C_LongOro,1133.6575433321548,1115.458400934688,LOSS,-2.05,-14.0,668.96,1
2019-09-09,2019-09-10,C_LongOro,1128.7351596002648,1097.3362454869286,LOSS,-2.05,-13.71,655.25,1
2019-09-11,2019-09-16,C_LongOro,1114.6520387719677,1074.4493643386077,LOSS,-2.05,-13.43,641.81,5
2019-09-19,2019-10-04,C_LongOro,1090.1042764630267,1087.9992317754443,LOSS,-0.243,-1.56,640.25,15
2019-11-04,2019-11-06,C_LongOro,1089.6921843811467,1069.6601217711134,LOSS,-2.05,-13.13,627.13,2
2019-11-14,2019-11-25,C_LongOro,1053.5956635845396,1093.803448599533,WIN,3.95,24.77,651.9,11
2019-11-26,2019-11-28,C_LongOro,1104.8395069884093,1088.89174714487,LOSS,-2.05,-13.36,638.54,2
2020-01-01,2020-01-06,C_LongOro,1008.7513494214004,1039.7389415050104,WIN,3.95,25.22,663.76,5
2020-01-10,2020-01-14,C_LongOro,1049.2696783665074,1033.9264219572342,LOSS,-2.05,-13.61,650.15,4
2020-01-21,2020-01-22,C_LongOro,1029.4519868271043,1014.2876167372358,LOSS,-2.05,-13.33,636.82,1
2020-02-19,2020-02-24,C_LongOro,998.6057920700777,1041.3405546746012,WIN,3.95,25.15,661.98,5
2020-03-19,2020-03-23,C_LongOro,1055.472342128677,1037.7439842722429,LOSS,-2.05,-13.57,648.41,4
2020-04-20,2020-05-05,C_LongOro,1032.7615605269905,1055.4797735308464,WIN,3.95,25.61,674.02,15
2021-07-02,2021-07-08,C_LongOro,1133.5257465390675,1157.7693020630586,WIN,3.95,26.62,700.64,6
2021-08-24,2021-08-25,C_LongOro,1199.481965674587,1176.232561384012,LOSS,-2.05,-14.36,686.28,1
2021-08-26,2021-09-02,C_LongOro,1202.6560686419468,1237.5336677082848,WIN,3.95,27.11,713.39,7
2021-09-03,2021-09-07,C_LongOro,1235.2983187572097,1219.0751672214074,LOSS,-2.05,-14.62,698.76,4
2023-02-28,2023-03-06,C_LongOro,1182.0138300944636,1211.2196365817024,WIN,3.95,27.6,726.36,6
2023-04-10,2023-04-25,C_LongOro,1221.5931284387177,1212.5029066178574,LOSS,-0.794,-5.77,720.6,15
2023-06-21,2023-06-22,A_LongPlata_ShortOro,1127.635665845631,1118.8453784290148,LOSS,-2.05,-14.77,705.82,1
2023-06-27,2023-06-29,A_LongPlata_ShortOro,1098.2767253009658,1119.4640296656044,WIN,3.95,27.88,733.7,2
2023-06-30,2023-07-06,A_LongPlata_ShortOro,1102.1442655596657,1085.1290066683605,LOSS,-2.05,-15.04,718.66,6
2023-07-11,2023-07-14,A_LongPlata_ShortOro,1092.0359621407813,1077.2443022605885,LOSS,-2.05,-14.73,703.93,3
2023-07-19,2023-07-21,A_LongPlata_ShortOro,1078.0231350665906,1108.6207138152326,WIN,3.95,27.81,731.73,2
2023-07-24,2023-07-26,A_LongPlata_ShortOro,1105.814180463873,1078.9430199778244,LOSS,-2.05,-15.0,716.73,2
2023-07-31,2023-08-04,A_LongPlata_ShortOro,1106.710124372067,1129.3758098673643,WIN,3.95,28.31,745.05,4
2023-08-07,2023-08-08,A_LongPlata_ShortOro,1144.1647514512722,1157.1330745614669,WIN,3.95,29.43,774.47,1
2023-08-09,2023-08-11,A_LongPlata_ShortOro,1173.2791761984774,1195.3548199312554,WIN,3.95,30.59,805.07,2
2023-09-18,2023-09-20,C_LongOro,1237.3737884884197,1201.621819573128,LOSS,-2.05,-16.5,788.56,2
2023-10-19,2023-10-23,C_LongOro,1300.95065309805,1335.9180170961429,WIN,3.95,31.15,819.71,4
2023-10-27,2023-11-01,C_LongOro,1337.9056628659666,1373.3864191226664,WIN,3.95,32.38,852.09,5
2023-11-16,2023-11-24,C_LongOro,1381.2239729269488,1412.527232411904,WIN,3.95,33.66,885.75,8
2023-12-07,2023-12-13,C_LongOro,1476.8066278688784,1451.389585733017,LOSS,-2.05,-18.16,867.59,6
2024-02-14,2024-02-29,C_LongOro,1401.2825564350314,1411.9797491782138,WIN,0.713,6.19,873.78,15
2024-03-01,2024-03-06,C_LongOro,1432.011331232496,1417.8015645502153,LOSS,-2.05,-17.91,855.87,5
